title,replace_title
Bloom into You,Yagate Kimi ni Naru
Spy x Family,Spy Family
Puella Magi Madoka Magica,Mahou Shoujo Madoka☆Magica 
Leviusest,Levius/est
Little Devils,Maou Kyoudai
Spirits & Cat Ears,Kudamimi no Neko
The Emperor's Lady-in-Waiting Is Wanted as a Bride,The Emperor's Court Lady Is Wanted as a Bride
The Rising of the Shield Hero - The Manga Companion,Tate no Yuusha no Nariagari
sheikh in His Harem,skip
With the Sheikh in His Harem,skip
Failure Frame - I Became the Strongest and Annihilated Everything with Low-Level Spells,I Became the Strongest With the Failure Frame 
Highschool of the Dead Full Color Edition,Highschool of the Dead
xxxHOLiC Omnibus,xxxHOLiC
Konosuba - An Explosion On This Wonderful World!,Fiery Explosions for this Wonderful World!
Puella Magi Homura Tamura ~Parallel Worlds Do Not Remain Parallel Forever~,Puella Magi Homura Tamura: Parallel Worlds Are Not Always Parallel.
The Drifting Classroom - The Perfect Edition,The Drifting Classroom
If the RPG World Had Social Media,skip
Love In Hell - Death Life,Jigokuren - Death Life
Lucky★Star,Lucky Star
Maison Ikkoku Collector's Edition,Maison Ikkoku
Pleasure & Corruption,Pleasure and Corruption
Tomie Complete Deluxe Edition,Tomie
Cardcaptor Sakura Collector's Edition,Cardcaptor Sakura
Dance in the Vampire Bund - Secret Chronicles,skip
Dance in the Vampire Bund Special Edition,Dance in the Vampire Bund
Haganai - I Don't Have Many Friends - Now With 50% More Fail!,skip
Hana & Hina After School,Hana and Hina After School
How to Treat Magical Beasts - Mine and Master's Medical Journal, How to Treat Magical Beasts
I Belong to the Baddest Girl at School,Errand Love
Scarlet Soul,skip
Alice in the Country of Diamonds - Bet On My Heart,Heart no Kuni no Alice
Masked Ambition - Death Ballade,skip
Negima! Omnibus,Negima!
InSpectre,Kyokou Suiri
Witchcraft Works,Witch Craft Works
High School DXD - Asia & Koneko's Secret Contract!,High-School DxD: Aashia & Koneko Himitsu no Keiyaku!?
FateZero,Fate/Zero
KanoKari Mythology,Kanokari - The Official Anthology
Full Clearing Another World under a Goddess with Zero Believers,Clearing an Isekai with the Zero-Believers Goddess
Ambassador Magma Omnibus,Ambassador Magma
Berserk Official Guidebook,skip
Blame! Master Edition,Blame!
Captain Harlock - The Classic Collection,Space Pirate Captain Harlock
Chobits 20th Anniversary Edition,Chobits
Dirty Pair Omnibus,Dirty Pair
Dragon Half Omnibus,Dragon Half
Dust 8 Omnibus,Dust 8
Fairy Tail - Twin Dragons of Saber Tooth,The Twin Dragons of Sabertooth 
Fairy Tail Side Stories,Fairy Tail Gaiden - Raigou Issen
Fragtime - The Complete Manga Collection,Fragtime
Giant Spider & Me - A Post-Apocalyptic Tale,Giant Spider & Me: A Post-Apocalyptic Tale
Hiro Mashima's Playground,skip
I Had That Same Dream Again - The Complete Manga Collection,I Had That Same Dream Again
Is It Wrong to Try to Pick Up Girls in a Dungeon Four-Panel Comic - Odd Days of Goddess,skip
JoJo's Bizarre Adventure - Artbooks & Spinoffs,skip
Junji Ito’s Cat Diary - Yon & Mu,伊藤潤二の猫日記 よん＆むー 
Knight's & Magic,Chevaliers et magie
Kuma Miko - Girl Meets Bear,Kumamiko 
MabuSasa,skip
Magic Knight Rayearth - 25th Anniversary Edition,Magic Knight Rayearth
Makeup Is Not (Just) Magic - A Manga Guide to Cosmetics and Skin Care,Makeup is Not (Just) Magic
MaMaMa - Magical Director Mako-chan's Magical Guidance,Mamama - Mahou Iinchou Mako-chan Mahou Shidou
Men's Life —Her Secret Life in The Boys' Dormitory—,Men-s-Life
Napping Princess - The Story of the Unknown Me,skip
Practice Makes Perfect,skip
Sazan & Comet Girl,Sazan & Cometgirl
Slumbering Beauty,skip
Sue & Tai-chan,Suu to Tai-chan
The Ancient Magus' Bride Official Guide Book - Merkmal,skip
The Conditions of Paradise - Our First Time,Our First Time
Velveteen & Mandala,Becchin to Mandara
The Haunted Bookstore - Gateway to a Parallel Universe,Our House is a Haunted Rental Bookstore
Yotsuba&!,Yotsuba &!
Pokemon Adventures - HeartGold & SoulSilver,Pokemon Adventures
Dance in the Vampire Bund - Forgotten Tales,skip
